#space_1 ell_1 scale_1 space_2 ell_2 scale_2 covariance
0 0 0.025663 0 0 0.065259 -42891.28
0 0 0.025663 0 0 0.075226 23213.65
0 0 0.025663 0 0 0.0852 -8958.782
0 0 0.025663 0 0 0.095179 -30465.13
0 0 0.025663 0 0 0.105167 -4926.761
0 0 0.025663 0 0 0.115153 -4158.11
0 0 0.025663 0 0 0.125138 -1518.375
0 0 0.025663 0 0 0.135129 -4341.48
0 0 0.025663 0 0 0.145115 -278.4685
0 0 0.025663 0 0 0.15511 -4288.566
0 0 0.025663 0 0 0.165106 1852.106
0 0 0.025663 0 0 0.175099 5468.696
0 0 0.025663 0 0 0.185092 -4843.752
0 0 0.025663 0 0 0.195086 1478.939
0 0 0.025663 0 0 0.205085 4391.565
0 0 0.025663 0 0 0.215079 7163.981
0 0 0.025663 0 0 0.225074 2174.964
0 0 0.025663 0 0 0.235071 -1740.283
0 0 0.025663 0 0 0.245068 890.8857
0 0 0.025663 0 0 0.255064 2164.085
0 0 0.025663 0 0 0.265062 -2031.291
0 0 0.025663 0 0 0.275059 -1289.667
0 0 0.025663 0 0 0.285055 5335.7
0 0 0.025663 0 0 0.295057 1101.879
0 0 0.025663 0 0 0.305058 3037.624
0 0 0.025663 0 0 0.315054 999.0271
0 0 0.025663 0 2 0.007493 -846917.5
0 0 0.025663 0 2 0.016066 -444568.6
0 0 0.025663 0 2 0.025663 -1946412.0
0 0 0.025663 0 2 0.035474 657129.1
0 0 0.025663 0 2 0.045364 -8679.689
0 0 0.025663 0 2 0.055298 1744.9
0 0 0.025663 0 2 0.065259 80999.31
0 0 0.025663 0 2 0.075226 157743.1
0 0 0.025663 0 2 0.0852 29979.66
0 0 0.025663 0 2 0.095179 -9982.792
0 0 0.025663 0 2 0.105167 14152.01
0 0 0.025663 0 2 0.115153 -36689.46
0 0 0.025663 0 2 0.125138 -1145.584
0 0 0.025663 0 2 0.135129 6428.623
0 0 0.025663 0 2 0.145115 -1486.454
0 0 0.025663 0 2 0.15511 -13448.27
0 0 0.025663 0 2 0.165106 -2733.511
0 0 0.025663 0 2 0.175099 14834.95
0 0 0.025663 0 2 0.185092 8796.727
0 0 0.025663 0 2 0.195086 1402.401
0 0 0.025663 0 2 0.205085 -3481.785
0 0 0.025663 0 2 0.215079 8477.832
0 0 0.025663 0 2 0.225074 -7101.033
0 0 0.025663 0 2 0.235071 12372.8
0 0 0.025663 0 2 0.245068 5900.723
0 0 0.025663 0 2 0.255064 11925.7
0 0 0.025663 0 2 0.265062 5526.183
0 0 0.025663 0 2 0.275059 673.5271
0 0 0.025663 0 2 0.285055 6410.698
0 0 0.025663 0 2 0.295057 3128.427
0 0 0.025663 0 2 0.305058 -8645.69
0 0 0.025663 0 2 0.315054 10647.98
0 0 0.035474 0 0 0.007493 -127934.8
0 0 0.035474 0 0 0.016066 146094.4
0 0 0.035474 0 0 0.025663 556332.0
0 0 0.035474 0 0 0.035474 1587585.0
0 0 0.035474 0 0 0.045364 184840.3
0 0 0.035474 0 0 0.055298 -29983.18
0 0 0.035474 0 0 0.065259 -37712.7
0 0 0.035474 0 0 0.075226 -21875.01
0 0 0.035474 0 0 0.0852 -1918.567
0 0 0.035474 0 0 0.095179 -3564.391
0 0 0.035474 0 0 0.105167 -13635.28
0 0 0.035474 0 0 0.115153 -1460.479
0 0 0.035474 0 0 0.125138 6212.168
0 0 0.035474 0 0 0.135129 -1224.712
0 0 0.035474 0 0 0.145115 300.7803
0 0 0.035474 0 0 0.15511 -31.45598
0 0 0.035474 0 0 0.165106 -1656.689
0 0 0.035474 0 0 0.175099 43.18314
0 0 0.035474 0 0 0.185092 -2714.911
0 0 0.035474 0 0 0.195086 -4106.004
0 0 0.035474 0 0 0.205085 330.9474
0 0 0.035474 0 0 0.215079 773.2733
0 0 0.035474 0 0 0.225074 2019.895
0 0 0.035474 0 0 0.235071 -2210.988
0 0 0.035474 0 0 0.245068 344.609
0 0 0.035474 0 0 0.255064 947.7346
0 0 0.035474 0 0 0.265062 -323.0456
0 0 0.035474 0 0 0.275059 633.0365
0 0 0.035474 0 0 0.285055 1438.683
0 0 0.035474 0 0 0.295057 552.8454
0 0 0.035474 0 0 0.305058 1002.367
0 0 0.035474 0 0 0.315054 1040.167
0 0 0.035474 0 2 0.007493 -355794.4
0 0 0.035474 0 2 0.016066 -316621.9
0 0 0.035474 0 2 0.025663 279814.9
0 0 0.035474 0 2 0.035474 -365972.8
0 0 0.035474 0 2 0.045364 227607.4
0 0 0.035474 0 2 0.055298 69609.56
0 0 0.035474 0 2 0.065259 -28156.47
0 0 0.035474 0 2 0.075226 31442.59
0 0 0.035474 0 2 0.0852 -2099.934
0 0 0.035474 0 2 0.095179 -5446.971
0 0 0.035474 0 2 0.105167 31783.82
0 0 0.035474 0 2 0.115153 16959.81
0 0 0.035474 0 2 0.125138 8038.389
0 0 0.035474 0 2 0.135129 -17021.01
0 0 0.035474 0 2 0.145115 -27429.93
0 0 0.035474 0 2 0.15511 -13831.97
0 0 0.035474 0 2 0.165106 -19573.17
0 0 0.035474 0 2 0.175099 1922.273
0 0 0.035474 0 2 0.185092 9968.036
0 0 0.035474 0 2 0.195086 3466.872
0 0 0.035474 0 2 0.205085 -2153.996
0 0 0.035474 0 2 0.215079 6502.104
0 0 0.035474 0 2 0.225074 -4075.865
0 0 0.035474 0 2 0.235071 -2073.101
0 0 0.035474 0 2 0.245068 -7584.959
0 0 0.035474 0 2 0.255064 -2847.029
0 0 0.035474 0 2 0.265062 -7490.065
0 0 0.035474 0 2 0.275059 2062.8
0 0 0.035474 0 2 0.285055 3143.182
0 0 0.035474 0 2 0.295057 3215.437
0 0 0.035474 0 2 0.305058 -2868.559
0 0 0.035474 0 2 0.315054 4271.873
0 0 0.045364 0 0 0.007493 124881.2
0 0 0.045364 0 0 0.016066 125581.5
0 0 0.045364 0 0 0.025663 -8202.994
0 0 0.045364 0 0 0.035474 184840.3
0 0 0.045364 0 0 0.045364 640268.0
0 0 0.045364 0 0 0.055298 65213.52
0 0 0.045364 0 0 0.065259 15654.04
0 0 0.045364 0 0 0.075226 1471.284
0 0 0.045364 0 0 0.0852 6056.547
0 0 0.045364 0 0 0.095179 1820.027
0 0 0.045364 0 0 0.105167 3590.52
0 0 0.045364 0 0 0.115153 8453.911
0 0 0.045364 0 0 0.125138 8523.963
0 0 0.045364 0 0 0.135129 4211.375
0 0 0.045364 0 0 0.145115 3463.722
0 0 0.045364 0 0 0.15511 5352.069
0 0 0.045364 0 0 0.165106 6050.866
0 0 0.045364 0 0 0.175099 3314.643
0 0 0.045364 0 0 0.185092 2492.161
0 0 0.045364 0 0 0.195086 3125.885
0 0 0.045364 0 0 0.205085 7094.105
0 0 0.045364 0 0 0.215079 -753.6897
0 0 0.045364 0 0 0.225074 1070.342
0 0 0.045364 0 0 0.235071 -114.5244
0 0 0.045364 0 0 0.245068 1418.406
0 0 0.045364 0 0 0.255064 2339.639
0 0 0.045364 0 0 0.265062 -457.1542
0 0 0.045364 0 0 0.275059 -249.8603
0 0 0.045364 0 0 0.285055 -677.1048
0 0 0.045364 0 0 0.295057 901.2355
0 0 0.045364 0 0 0.305058 -397.6621
0 0 0.045364 0 0 0.315054 1311.66
0 0 0.045364 0 2 0.007493 -49352.25
0 0 0.045364 0 2 0.016066 -307925.3
0 0 0.045364 0 2 0.025663 178611.5
0 0 0.045364 0 2 0.035474 89251.19
0 0 0.045364 0 2 0.045364 -221208.1
0 0 0.045364 0 2 0.055298 62732.84
0 0 0.045364 0 2 0.065259 36577.32
0 0 0.045364 0 2 0.075226 56903.96
0 0 0.045364 0 2 0.0852 13508.54
0 0 0.045364 0 2 0.095179 20983.07
0 0 0.045364 0 2 0.105167 19170.55
0 0 0.045364 0 2 0.115153 27833.85
0 0 0.045364 0 2 0.125138 -1623.797
0 0 0.045364 0 2 0.135129 -12171.77
0 0 0.045364 0 2 0.145115 -12308.91
0 0 0.045364 0 2 0.15511 -9128.068
0 0 0.045364 0 2 0.165106 5410.595
0 0 0.045364 0 2 0.175099 5509.835
0 0 0.045364 0 2 0.185092 3317.722
0 0 0.045364 0 2 0.195086 -5332.664
0 0 0.045364 0 2 0.205085 5051.305
0 0 0.045364 0 2 0.215079 6054.295
0 0 0.045364 0 2 0.225074 -1612.49
0 0 0.045364 0 2 0.235071 -1602.076
0 0 0.045364 0 2 0.245068 -3086.85
0 0 0.045364 0 2 0.255064 902.6344
0 0 0.045364 0 2 0.265062 -1374.987
0 0 0.045364 0 2 0.275059 -3858.864
0 0 0.045364 0 2 0.285055 1274.441
0 0 0.045364 0 2 0.295057 -1554.389
0 0 0.045364 0 2 0.305058 1132.487
0 0 0.045364 0 2 0.315054 4485.003
0 0 0.055298 0 0 0.007493 -99492.18
0 0 0.055298 0 0 0.016066 -68757.46
0 0 0.055298 0 0 0.025663 -27557.94
0 0 0.055298 0 0 0.035474 -29983.18
0 0 0.055298 0 0 0.045364 65213.52
0 0 0.055298 0 0 0.055298 348744.4
0 0 0.055298 0 0 0.065259 73643.54
0 0 0.055298 0 0 0.075226 6272.643
0 0 0.055298 0 0 0.0852 -516.2181
0 0 0.055298 0 0 0.095179 352.1533
0 0 0.055298 0 0 0.105167 3244.87
0 0 0.055298 0 0 0.115153 1985.71
0 0 0.055298 0 0 0.125138 892.2354
0 0 0.055298 0 0 0.135129 5844.975
0 0 0.055298 0 0 0.145115 3416.861
0 0 0.055298 0 0 0.15511 5209.536
0 0 0.055298 0 0 0.165106 76.58677
0 0 0.055298 0 0 0.175099 541.0249
0 0 0.055298 0 0 0.185092 588.3771
0 0 0.055298 0 0 0.195086 1794.177
0 0 0.055298 0 0 0.205085 1579.405
0 0 0.055298 0 0 0.215079 926.0789
0 0 0.055298 0 0 0.225074 2370.813
0 0 0.055298 0 0 0.235071 1524.72
0 0 0.055298 0 0 0.245068 -157.2669
0 0 0.055298 0 0 0.255064 -57.70049
0 0 0.055298 0 0 0.265062 -1168.463
0 0 0.055298 0 0 0.275059 -635.0085
0 0 0.055298 0 0 0.285055 565.2628
0 0 0.055298 0 0 0.295057 477.6416
0 0 0.055298 0 0 0.305058 129.7035
0 0 0.055298 0 0 0.315054 818.8427
0 0 0.055298 0 2 0.007493 -81115.56
0 0 0.055298 0 2 0.016066 124577.2
0 0 0.055298 0 2 0.025663 -46017.65
0 0 0.055298 0 2 0.035474 61882.99
0 0 0.055298 0 2 0.045364 23036.53
0 0 0.055298 0 2 0.055298 -114290.8
0 0 0.055298 0 2 0.065259 17435.71
0 0 0.055298 0 2 0.075226 1972.792
0 0 0.055298 0 2 0.0852 -24998.13
0 0 0.055298 0 2 0.095179 3358.982
0 0 0.055298 0 2 0.105167 -9034.986
0 0 0.055298 0 2 0.115153 6792.543
0 0 0.055298 0 2 0.125138 8098.432
0 0 0.055298 0 2 0.135129 -597.4186
0 0 0.055298 0 2 0.145115 3027.139
0 0 0.055298 0 2 0.15511 3433.505
0 0 0.055298 0 2 0.165106 1965.352
0 0 0.055298 0 2 0.175099 1760.386
0 0 0.055298 0 2 0.185092 -693.2171
0 0 0.055298 0 2 0.195086 -4615.097
0 0 0.055298 0 2 0.205085 906.6778
0 0 0.055298 0 2 0.215079 -107.7143
0 0 0.055298 0 2 0.225074 1902.861
0 0 0.055298 0 2 0.235071 -1279.353
0 0 0.055298 0 2 0.245068 -2228.893
0 0 0.055298 0 2 0.255064 -3735.803
0 0 0.055298 0 2 0.265062 3695.391
0 0 0.055298 0 2 0.275059 -1164.155
0 0 0.055298 0 2 0.285055 -501.2521
0 0 0.055298 0 2 0.295057 50.90975
0 0 0.055298 0 2 0.305058 -1324.422
0 0 0.055298 0 2 0.315054 -1138.454
0 0 0.065259 0 0 0.007493 -26614.7
0 0 0.065259 0 0 0.016066 -33981.45
0 0 0.065259 0 0 0.025663 -42891.28
0 0 0.065259 0 0 0.035474 -37712.7
0 0 0.065259 0 0 0.045364 15654.04
0 0 0.065259 0 0 0.055298 73643.54
0 0 0.065259 0 0 0.065259 235689.2
0 0 0.065259 0 0 0.075226 29948.74
0 0 0.065259 0 0 0.0852 -1464.593
0 0 0.065259 0 0 0.095179 1608.482
0 0 0.065259 0 0 0.105167 377.0852
0 0 0.065259 0 0 0.115153 368.7779
0 0 0.065259 0 0 0.125138 3500.466
0 0 0.065259 0 0 0.135129 1949.139
0 0 0.065259 0 0 0.145115 1900.81
0 0 0.065259 0 0 0.15511 2689.701
0 0 0.065259 0 0 0.165106 677.7869
0 0 0.065259 0 0 0.175099 1667.743
0 0 0.065259 0 0 0.185092 1104.593
0 0 0.065259 0 0 0.195086 1963.125
0 0 0.065259 0 0 0.205085 3749.631
0 0 0.065259 0 0 0.215079 2411.282
0 0 0.065259 0 0 0.225074 2088.009
0 0 0.065259 0 0 0.235071 1450.24
0 0 0.065259 0 0 0.245068 348.6389
0 0 0.065259 0 0 0.255064 1558.027
0 0 0.065259 0 0 0.265062 1026.371
0 0 0.065259 0 0 0.275059 -76.90193
0 0 0.065259 0 0 0.285055 1367.988
0 0 0.065259 0 0 0.295057 559.5003
0 0 0.065259 0 0 0.305058 446.0171
0 0 0.065259 0 0 0.315054 588.575
0 0 0.065259 0 2 0.007493 99307.47
0 0 0.065259 0 2 0.016066 55309.9
0 0 0.065259 0 2 0.025663 31435.93
0 0 0.065259 0 2 0.035474 -2778.683
